Tema,Kelime Türü,Kelimeler
1. School Life,Ülkeler/Milletler/Diller,"Azerbaijan, Poland, Hungary, Bulgaria, Norway, South Korea, Türkiye, Chile, Peru, Turkish Republic of Northern Cyprus, Uzbekistan, Turkmenistan, Kazakhstan, Kyrgyzstan, Thailand. Turkish, Polish, Hungarian, Bulgarian, Norwegian, Korean, Chilean, Spanish, Peruvian, Turkish Cypriot, Azerbaijani, Uzbek, Turkmen, Kazakh, Kyrgyz, Thai. German, French."
,Turistik Yerler/Aktiviteler,"Sightseeing, castle, monument, historical site, location, tower, palace, trip, journey, ancient ruin, square. Hike, boat ride."
,Diğer,"Possibility, opportunity, ability."
2. Classroom Life,Rutinler/Aktiviteler,"To wake up, to comb hair, to plan, to repeat, to clean his face, to get dressed, to charge his phone, to attend classes, to have a break, to take notes, to read silently, to walk to school, to leave home, to return home/come back home/arrive home, to go shopping, to do homework, to have a lie-in/get out of bed, to have a shower/bath, to do a task, to run errands, to participate in activities."
,Zaman İfadeleri/Zarflar,"Every day, often, slowly, quickly, early, neatly, spontaneously, rarely, occasionally, at weekends, in the mornings, every Wednesday evening, on Fridays."
,Diğer,"Classmates, friendships, accessories."
3. Personal Life,Fiziksel Görünüm,"Medium-height, plump, blond, brunette, fair skin, tan skin, pale skin, dark curly hair, straight red hair, skinny, well-built, slim, handsome, attractive, young, beautiful, cute, oversized, charismatic, middle-aged, old."
,Kişilik Özellikleri,"Cheerful, honest, moody, brave, confident, charismatic, kind, friendly, outgoing, funny, careless, serious, genius, smart, clever, polite, gentle, peaceful, shy, quiet, forgetful, rude, bold."
4. Family Life,Meslekler/İşyerleri,"Bank clerk, security guard, pharmacist, architect, psychologist, business person, digital marketer, content creator, journalist, lawyer, accountant, scientist, biologist, computer programmer, photographer. Bank, shopping centre, office, clinic, professional photography studio, farm, science lab, IT company."
,İş Aktiviteleri,"To serve (customers), to check (IDs), to draw (plans), to counsel (clients), to manage (business), to promote (products), to shoot (photographs), to develop (programmes), to defend (clients), to report (news), to advise (customers), to research, to organise, to grow (vegetables)."
,Aile Üyeleri,"Cousin, nephew, stepdaughter, stepfather, relatives, grandfather, mother, father, brother, sister, aunt, niece."
5. Life in the House,Ev Tipleri/Bölümleri,"Block (of flats), flat, villa, cottage, terraced house, detached house, bungalow, penthouse, semi-detached house, house. Garden, bathroom, kitchen, utility room, terrace, sitting room, dining room, garage, hall, bedroom, upstairs, downstairs."
,Mobilya/Ev Eşyaları,"Bathtub, oven, fridge/freezer, dishwasher, cushion, rug, pillow, table, cupboard, sofa, armchair, shower, bed, wardrobe, bedside table, basin, cooker, carpet, hoover."
,Ev İşleri/Aktiviteler,"To iron, to relax, to prepare the table, to tidy up, to wash the dishes, to do the laundry, to have breakfast/lunch/dinner, to clean, to watch TV, to play computer games, to read, to brush (teeth), to make the bed, to have a shower/bath."
6. Life in the City & Country,Yiyecekler/Tatlar,"Cuisine, street food, food event, festival, Turkish pizza, falafel, boiled beans, fried beef, noodle, curry, couscous, kebab, stew, soup, omelette, salmon, tuna, rice, herb, olive oil, spinach, aubergine, courgette, vegetable, coconut milk, spice, yoghurt, butter, egg, milk, sweetcorn, bean, lentil, pasta, biscuit, pastry. Sweet, sour, spicy, hot, delicious, creamy, juicy, tender, healthy, crispy, savoury, bitter, chewy, tasty, traditional, tropical, regional, natural."
,Diğer,"Noise pollution, traffic, affordable housing, feast, celebration."
7. Life in the World & Nature,Hayvanlar/Yaşam Alanları,"Tiger, whale, cheetah, polar bear, chimpanzee, sea turtle, great white shark, penguin, Saharan silver ant, Asian elephant. Grasslands, oceans, deserts, Arctic, tropical rainforests, woodlands, beaches, jungle, Antarctica."
,Tehditler/Korumalar,"Climate change, melting ice, habitat loss, illegal hunting, pet trade, diseases, marine/sea pollution, overhunting, overfishing, air pollution, pollution, food source, safety, volunteer, population, shelter. Saving energy, using clean energy, following rules, supporting laws, donating, telling others, cleaning up beaches, preventing, sheltering, breeding."
,Fiiller,"To hunt, to lessen, to survive, to breed, to protect, to hide, to donate, to produce, to save."
8. Life in the Universe & Future,Film Türleri/Kavramlar,"Film, comedy, action, cartoon, adventure, biographical, family, historical, mystery, romantic, thriller, martial arts, space adventure, alien invasion, robot, science fantasy, science fiction, time travel, horror, detective films, documentaries. Intelligent machines, advanced/high-tech/robotic technology, space exploration, robot, artificial intelligence (AI), alien invasion, invention, discovery, virtual reality, director, film-maker, plot, cinematic experience."
,Fiiller,"To discover, to invent, to adapt, to survive."